BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,
Software_Priacy_v3.nlogo,,,,,,,,,,,,
Release Interval Variation Preferential,,,,,,,,,,,,
05/11/2021 22:39:14:573 +0530,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-16,16,-16,16,,,,,,,,,
[run number],Crack-Distribution-Radius,Waiting-Threshold,Price,Months-To-Crack,New-Version-Release-Interval,Price-Threshold,Network-Type,Max-License-Period,Num-People,[step],profit,loss
1,5,12,10,1,1,20,Preferential Attachment,7,100,36001,12760,8670
3,5,12,10,1,1,20,Preferential Attachment,7,100,36001,10700,11150
2,5,12,10,1,1,20,Preferential Attachment,7,100,36001,12730,0
4,5,12,10,1,2,20,Preferential Attachment,7,100,36001,9570,7130
5,5,12,10,1,2,20,Preferential Attachment,7,100,36001,10280,12720
7,5,12,10,1,3,20,Preferential Attachment,7,100,36001,11990,3150
6,5,12,10,1,2,20,Preferential Attachment,7,100,36001,12560,3380
8,5,12,10,1,3,20,Preferential Attachment,7,100,36001,8360,2830
9,5,12,10,1,3,20,Preferential Attachment,7,100,36001,11640,1860
11,5,12,10,1,4,20,Preferential Attachment,7,100,36001,9740,6860
10,5,12,10,1,4,20,Preferential Attachment,7,100,36001,10850,7960
12,5,12,10,1,4,20,Preferential Attachment,7,100,36001,7720,7250
13,5,12,10,1,5,20,Preferential Attachment,7,100,36001,8520,9480
14,5,12,10,1,5,20,Preferential Attachment,7,100,36001,9170,7390
15,5,12,10,1,5,20,Preferential Attachment,7,100,36001,8340,6020
16,5,12,10,1,6,20,Preferential Attachment,7,100,36001,6750,10340
17,5,12,10,1,6,20,Preferential Attachment,7,100,36001,5460,5150
18,5,12,10,1,6,20,Preferential Attachment,7,100,36001,8770,5720
19,5,12,10,1,7,20,Preferential Attachment,7,100,36001,5940,7990
20,5,12,10,1,7,20,Preferential Attachment,7,100,36001,6590,7220
21,5,12,10,1,7,20,Preferential Attachment,7,100,36001,5550,9450
22,5,12,10,1,8,20,Preferential Attachment,7,100,36001,4950,2860
23,5,12,10,1,8,20,Preferential Attachment,7,100,36001,3420,8820
24,5,12,10,1,8,20,Preferential Attachment,7,100,36001,4250,8890
26,5,12,10,1,9,20,Preferential Attachment,7,100,36001,3920,5800
25,5,12,10,1,9,20,Preferential Attachment,7,100,36001,4850,8240
27,5,12,10,1,9,20,Preferential Attachment,7,100,36001,3430,10040
28,5,12,10,1,10,20,Preferential Attachment,7,100,36001,3040,7540
29,5,12,10,1,10,20,Preferential Attachment,7,100,36001,2460,2750
30,5,12,10,1,10,20,Preferential Attachment,7,100,36001,3340,6180
31,5,12,10,1,11,20,Preferential Attachment,7,100,36001,3010,8520
32,5,12,10,1,11,20,Preferential Attachment,7,100,36001,2330,8590
33,5,12,10,1,11,20,Preferential Attachment,7,100,36001,1490,8370
34,5,12,10,1,12,20,Preferential Attachment,7,100,36001,1500,8370
35,5,12,10,1,12,20,Preferential Attachment,7,100,36001,1490,8290
36,5,12,10,1,12,20,Preferential Attachment,7,100,36001,1380,8880
37,5,12,10,2,1,20,Preferential Attachment,7,100,36001,18350,0
38,5,12,10,2,1,20,Preferential Attachment,7,100,36001,14920,6600
39,5,12,10,2,1,20,Preferential Attachment,7,100,36001,15350,4210
40,5,12,10,2,2,20,Preferential Attachment,7,100,36001,11200,4000
41,5,12,10,2,2,20,Preferential Attachment,7,100,36001,9460,2990
42,5,12,10,2,2,20,Preferential Attachment,7,100,36001,11780,6410
43,5,12,10,2,3,20,Preferential Attachment,7,100,36001,11070,3100
44,5,12,10,2,3,20,Preferential Attachment,7,100,36001,7550,6890
45,5,12,10,2,3,20,Preferential Attachment,7,100,36001,8030,11660
46,5,12,10,2,4,20,Preferential Attachment,7,100,36001,8070,3710
47,5,12,10,2,4,20,Preferential Attachment,7,100,36001,9360,3580
48,5,12,10,2,4,20,Preferential Attachment,7,100,36001,8130,3550
49,5,12,10,2,5,20,Preferential Attachment,7,100,36001,6360,8730
50,5,12,10,2,5,20,Preferential Attachment,7,100,36001,7090,5870
51,5,12,10,2,5,20,Preferential Attachment,7,100,36001,9680,5540
52,5,12,10,2,6,20,Preferential Attachment,7,100,36001,7190,4450
53,5,12,10,2,6,20,Preferential Attachment,7,100,36001,6030,8640
54,5,12,10,2,6,20,Preferential Attachment,7,100,36001,7300,8810
56,5,12,10,2,7,20,Preferential Attachment,7,100,36001,5000,8930
55,5,12,10,2,7,20,Preferential Attachment,7,100,36001,4690,8390
57,5,12,10,2,7,20,Preferential Attachment,7,100,36001,5700,8920
58,5,12,10,2,8,20,Preferential Attachment,7,100,36001,4120,5910
59,5,12,10,2,8,20,Preferential Attachment,7,100,36001,5080,9120
60,5,12,10,2,8,20,Preferential Attachment,7,100,36001,4380,8110
62,5,12,10,2,9,20,Preferential Attachment,7,100,36001,4190,7950
61,5,12,10,2,9,20,Preferential Attachment,7,100,36001,2240,9720
63,5,12,10,2,9,20,Preferential Attachment,7,100,36001,2640,9560
64,5,12,10,2,10,20,Preferential Attachment,7,100,36001,2700,0
65,5,12,10,2,10,20,Preferential Attachment,7,100,36001,2900,8340
66,5,12,10,2,10,20,Preferential Attachment,7,100,36001,3160,8190
67,5,12,10,2,11,20,Preferential Attachment,7,100,36001,1180,8510
68,5,12,10,2,11,20,Preferential Attachment,7,100,36001,1200,8790
69,5,12,10,2,11,20,Preferential Attachment,7,100,36001,1590,8760
70,5,12,10,2,12,20,Preferential Attachment,7,100,36001,970,7990
71,5,12,10,2,12,20,Preferential Attachment,7,100,36001,680,8580
72,5,12,10,2,12,20,Preferential Attachment,7,100,36001,620,8740
73,5,12,10,3,1,20,Preferential Attachment,7,100,36001,17170,1540
74,5,12,10,3,1,20,Preferential Attachment,7,100,36001,12120,5610
75,5,12,10,3,1,20,Preferential Attachment,7,100,36001,18510,1630
76,5,12,10,3,2,20,Preferential Attachment,7,100,36001,16610,1600
77,5,12,10,3,2,20,Preferential Attachment,7,100,36001,16760,0
78,5,12,10,3,2,20,Preferential Attachment,7,100,36001,17230,860
79,5,12,10,3,3,20,Preferential Attachment,7,100,36001,11760,400
80,5,12,10,3,3,20,Preferential Attachment,7,100,36001,12770,2400
81,5,12,10,3,3,20,Preferential Attachment,7,100,36001,10690,5010
82,5,12,10,3,4,20,Preferential Attachment,7,100,36001,8490,7060
83,5,12,10,3,4,20,Preferential Attachment,7,100,36001,6840,4950
84,5,12,10,3,4,20,Preferential Attachment,7,100,36001,8120,1750
85,5,12,10,3,5,20,Preferential Attachment,7,100,36001,7240,8720
86,5,12,10,3,5,20,Preferential Attachment,7,100,36001,3520,3070
87,5,12,10,3,5,20,Preferential Attachment,7,100,36001,5230,4130
88,5,12,10,3,6,20,Preferential Attachment,7,100,36001,7210,9290
89,5,12,10,3,6,20,Preferential Attachment,7,100,36001,6830,0
90,5,12,10,3,6,20,Preferential Attachment,7,100,36001,5460,10380
91,5,12,10,3,7,20,Preferential Attachment,7,100,36001,5560,5440
92,5,12,10,3,7,20,Preferential Attachment,7,100,36001,8680,980
93,5,12,10,3,7,20,Preferential Attachment,7,100,36001,6290,8610
94,5,12,10,3,8,20,Preferential Attachment,7,100,36001,4470,8090
95,5,12,10,3,8,20,Preferential Attachment,7,100,36001,5530,750
96,5,12,10,3,8,20,Preferential Attachment,7,100,36001,4060,9140
97,5,12,10,3,9,20,Preferential Attachment,7,100,36001,4210,7100
98,5,12,10,3,9,20,Preferential Attachment,7,100,36001,2700,2080
99,5,12,10,3,9,20,Preferential Attachment,7,100,36001,2990,6270
100,5,12,10,3,10,20,Preferential Attachment,7,100,36001,2480,5360
101,5,12,10,3,10,20,Preferential Attachment,7,100,36001,1400,9210
102,5,12,10,3,10,20,Preferential Attachment,7,100,36001,1420,8300
103,5,12,10,3,11,20,Preferential Attachment,7,100,36001,690,8860
104,5,12,10,3,11,20,Preferential Attachment,7,100,36001,1540,8590
105,5,12,10,3,11,20,Preferential Attachment,7,100,36001,1190,6470
106,5,12,10,3,12,20,Preferential Attachment,7,100,36001,770,7700
107,5,12,10,3,12,20,Preferential Attachment,7,100,36001,480,8240
108,5,12,10,3,12,20,Preferential Attachment,7,100,36001,700,8490
109,5,12,10,4,1,20,Preferential Attachment,7,100,36001,19030,3510
110,5,12,10,4,1,20,Preferential Attachment,7,100,36001,20160,600
111,5,12,10,4,1,20,Preferential Attachment,7,100,36001,17160,2310
112,5,12,10,4,2,20,Preferential Attachment,7,100,36001,21580,600
113,5,12,10,4,2,20,Preferential Attachment,7,100,36001,19030,0
114,5,12,10,4,2,20,Preferential Attachment,7,100,36001,19440,3040
115,5,12,10,4,3,20,Preferential Attachment,7,100,36001,21980,870
116,5,12,10,4,3,20,Preferential Attachment,7,100,36001,20280,0
117,5,12,10,4,3,20,Preferential Attachment,7,100,36001,18900,300
118,5,12,10,4,4,20,Preferential Attachment,7,100,36001,9620,3810
119,5,12,10,4,4,20,Preferential Attachment,7,100,36001,10600,4600
120,5,12,10,4,4,20,Preferential Attachment,7,100,36001,8380,4830
121,5,12,10,4,5,20,Preferential Attachment,7,100,36001,8820,6820
122,5,12,10,4,5,20,Preferential Attachment,7,100,36001,6240,9890
123,5,12,10,4,5,20,Preferential Attachment,7,100,36001,4840,10620
124,5,12,10,4,6,20,Preferential Attachment,7,100,36001,6820,5160
125,5,12,10,4,6,20,Preferential Attachment,7,100,36001,5360,4500
126,5,12,10,4,6,20,Preferential Attachment,7,100,36001,8010,3990
127,5,12,10,4,7,20,Preferential Attachment,7,100,36001,5390,7950
129,5,12,10,4,7,20,Preferential Attachment,7,100,36001,4870,5940
128,5,12,10,4,7,20,Preferential Attachment,7,100,36001,5040,7660
130,5,12,10,4,8,20,Preferential Attachment,7,100,36001,2810,8780
131,5,12,10,4,8,20,Preferential Attachment,7,100,36001,4030,7820
132,5,12,10,4,8,20,Preferential Attachment,7,100,36001,6010,7660
133,5,12,10,4,9,20,Preferential Attachment,7,100,36001,3510,7540
134,5,12,10,4,9,20,Preferential Attachment,7,100,36001,3920,8850
135,5,12,10,4,9,20,Preferential Attachment,7,100,36001,3500,8220
136,5,12,10,4,10,20,Preferential Attachment,7,100,36001,1830,8650
137,5,12,10,4,10,20,Preferential Attachment,7,100,36001,3780,7980
138,5,12,10,4,10,20,Preferential Attachment,7,100,36001,3270,6390
139,5,12,10,4,11,20,Preferential Attachment,7,100,36001,950,7960
140,5,12,10,4,11,20,Preferential Attachment,7,100,36001,1950,8310
141,5,12,10,4,11,20,Preferential Attachment,7,100,36001,2680,6940
142,5,12,10,4,12,20,Preferential Attachment,7,100,36001,630,8040
144,5,12,10,4,12,20,Preferential Attachment,7,100,36001,760,8310
143,5,12,10,4,12,20,Preferential Attachment,7,100,36001,390,8790
145,5,12,10,5,1,20,Preferential Attachment,7,100,36001,20460,0
146,5,12,10,5,1,20,Preferential Attachment,7,100,36001,19600,720
147,5,12,10,5,1,20,Preferential Attachment,7,100,36001,17790,0
148,5,12,10,5,2,20,Preferential Attachment,7,100,36001,24890,1160
149,5,12,10,5,2,20,Preferential Attachment,7,100,36001,19260,240
150,5,12,10,5,2,20,Preferential Attachment,7,100,36001,20110,480
151,5,12,10,5,3,20,Preferential Attachment,7,100,36001,20210,1170
152,5,12,10,5,3,20,Preferential Attachment,7,100,36001,19880,2910
153,5,12,10,5,3,20,Preferential Attachment,7,100,36001,22590,950
154,5,12,10,5,4,20,Preferential Attachment,7,100,36001,22610,240
155,5,12,10,5,4,20,Preferential Attachment,7,100,36001,27090,2900
156,5,12,10,5,4,20,Preferential Attachment,7,100,36001,23880,0
157,5,12,10,5,5,20,Preferential Attachment,7,100,36001,9770,7040
158,5,12,10,5,5,20,Preferential Attachment,7,100,36001,11090,5030
159,5,12,10,5,5,20,Preferential Attachment,7,100,36001,10000,6070
160,5,12,10,5,6,20,Preferential Attachment,7,100,36001,6610,1580
161,5,12,10,5,6,20,Preferential Attachment,7,100,36001,4760,8210
162,5,12,10,5,6,20,Preferential Attachment,7,100,36001,5860,6380
163,5,12,10,5,7,20,Preferential Attachment,7,100,36001,4020,8420
164,5,12,10,5,7,20,Preferential Attachment,7,100,36001,6490,5710
165,5,12,10,5,7,20,Preferential Attachment,7,100,36001,3130,10190
166,5,12,10,5,8,20,Preferential Attachment,7,100,36001,2650,8840
167,5,12,10,5,8,20,Preferential Attachment,7,100,36001,3600,9070
168,5,12,10,5,8,20,Preferential Attachment,7,100,36001,5520,6660
169,5,12,10,5,9,20,Preferential Attachment,7,100,36001,3820,8260
170,5,12,10,5,9,20,Preferential Attachment,7,100,36001,2660,7320
171,5,12,10,5,9,20,Preferential Attachment,7,100,36001,2420,4890
172,5,12,10,5,10,20,Preferential Attachment,7,100,36001,1870,8930
173,5,12,10,5,10,20,Preferential Attachment,7,100,36001,1770,8540
175,5,12,10,5,11,20,Preferential Attachment,7,100,36001,540,8930
174,5,12,10,5,10,20,Preferential Attachment,7,100,36001,2190,8210
176,5,12,10,5,11,20,Preferential Attachment,7,100,36001,1580,7650
177,5,12,10,5,11,20,Preferential Attachment,7,100,36001,590,9100
178,5,12,10,5,12,20,Preferential Attachment,7,100,36001,380,8470
179,5,12,10,5,12,20,Preferential Attachment,7,100,36001,440,7990
180,5,12,10,5,12,20,Preferential Attachment,7,100,36001,530,8450
182,5,12,10,6,1,20,Preferential Attachment,7,100,36001,18890,990
181,5,12,10,6,1,20,Preferential Attachment,7,100,36001,20880,1110
183,5,12,10,6,1,20,Preferential Attachment,7,100,36001,16300,0
184,5,12,10,6,2,20,Preferential Attachment,7,100,36001,19990,600
185,5,12,10,6,2,20,Preferential Attachment,7,100,36001,21400,0
186,5,12,10,6,2,20,Preferential Attachment,7,100,36001,19300,800
187,5,12,10,6,3,20,Preferential Attachment,7,100,36001,23650,0
188,5,12,10,6,3,20,Preferential Attachment,7,100,36001,23180,200
189,5,12,10,6,3,20,Preferential Attachment,7,100,36001,24280,400
190,5,12,10,6,4,20,Preferential Attachment,7,100,36001,24570,400
191,5,12,10,6,4,20,Preferential Attachment,7,100,36001,24220,200
192,5,12,10,6,4,20,Preferential Attachment,7,100,36001,22730,200
193,5,12,10,6,5,20,Preferential Attachment,7,100,36001,31900,200
194,5,12,10,6,5,20,Preferential Attachment,7,100,36001,24720,0
195,5,12,10,6,5,20,Preferential Attachment,7,100,36001,26520,400
196,5,12,10,6,6,20,Preferential Attachment,7,100,36001,9380,4590
197,5,12,10,6,6,20,Preferential Attachment,7,100,36001,9440,3040
198,5,12,10,6,6,20,Preferential Attachment,7,100,36001,8850,5170
199,5,12,10,6,7,20,Preferential Attachment,7,100,36001,3420,8850
201,5,12,10,6,7,20,Preferential Attachment,7,100,36001,6500,3430
200,5,12,10,6,7,20,Preferential Attachment,7,100,36001,4420,7860
202,5,12,10,6,8,20,Preferential Attachment,7,100,36001,7200,4830
203,5,12,10,6,8,20,Preferential Attachment,7,100,36001,4710,0
204,5,12,10,6,8,20,Preferential Attachment,7,100,36001,3120,5000
205,5,12,10,6,9,20,Preferential Attachment,7,100,36001,2730,9060
206,5,12,10,6,9,20,Preferential Attachment,7,100,36001,3380,7880
207,5,12,10,6,9,20,Preferential Attachment,7,100,36001,3210,6640
208,5,12,10,6,10,20,Preferential Attachment,7,100,36001,2440,6160
209,5,12,10,6,10,20,Preferential Attachment,7,100,36001,3130,7820
210,5,12,10,6,10,20,Preferential Attachment,7,100,36001,970,7770
211,5,12,10,6,11,20,Preferential Attachment,7,100,36001,1390,8410
212,5,12,10,6,11,20,Preferential Attachment,7,100,36001,780,8450
